date,category,product,region,base_price,discount_pct,final_price,competitor_price,demand,stock_level,rating,day_of_week,month,is_weekend
2021-02-13,Food,Snacks,Alex,42.5,0.05,40.38,40.09,159,122,3.9,5,2,1
2021-02-14,Electronics,Headphones,Cairo,994.23,0.05,944.52,1078.73,57,40,3.6,6,2,1
2021-02-16,Electronics,Tablet,Giza,683.78,0.0,683.78,782.32,54,262,3.8,1,2,0
2021-02-19,Clothing,Shoes,Cairo,201.56,0.05,191.48,199.05,110,444,3.0,4,2,0
2021-02-22,Home,Rug,Alex,180.32,0.2,144.26,162.74,50,455,4.0,0,2,0
2021-02-22,Clothing,Shoes,Aswan,181.97,0.0,181.97,180.39,80,18,3.8,0,2,0
2021-02-23,Electronics,Laptop,Luxor,968.28,0.0,968.28,982.1,53,185,4.0,1,2,0
2021-02-23,Sports,Helmet,Giza,325.6,0.0,325.6,289.88,70,31,4.9,1,2,0
2021-02-24,Sports,Bike,Aswan,300.85,0.0,300.85,294.11,101,437,4.2,2,2,0
2021-02-25,Food,Coffee,Cairo,51.49,0.1,46.34,51.31,112,305,4.8,3,2,0
2021-03-02,Home,Curtains,Cairo,119.93,0.0,119.93,109.5,49,105,3.2,1,3,0
2021-03-02,Home,Curtains,Luxor,146.44,0.0,146.44,158.25,72,330,4.2,1,3,0
2021-03-02,Food,Cereal,Aswan,41.61,0.1,37.45,37.62,107,340,3.1,1,3,0
2021-03-04,Home,Vase,Giza,156.68,0.0,156.68,173.56,34,286,3.3,3,3,0
2021-03-06,Clothing,Shoes,Luxor,270.32,0.05,256.8,242.28,104,68,4.7,5,3,1
2021-03-08,Home,Lamp,Giza,160.1,0.05,152.1,163.31,71,50,3.6,0,3,0
2021-03-08,Sports,Helmet,Aswan,244.93,0.1,220.44,206.09,66,476,3.5,0,3,0
2021-03-09,Clothing,Dress,Aswan,206.92,0.15,175.88,194.68,56,61,4.1,1,3,0
2021-03-09,Clothing,T-Shirt,Aswan,153.24,0.0,153.24,164.42,113,289,3.4,1,3,0
2021-03-13,Clothing,Jeans,Cairo,180.15,0.1,162.14,148.63,69,456,4.4,5,3,1
2021-03-13,Sports,Helmet,Alex,359.25,0.05,341.29,374.39,65,248,3.2,5,3,1
2021-03-13,Electronics,Phone,Alex,994.57,0.0,994.57,1066.68,49,278,4.8,5,3,1
2021-03-14,Electronics,Camera,Cairo,949.7,0.05,902.22,1024.98,21,480,4.7,6,3,1
2021-03-14,Clothing,Jeans,Luxor,145.16,0.0,145.16,161.03,109,178,4.6,6,3,1
2021-03-14,Sports,Sneakers,Aswan,276.33,0.0,276.33,265.8,63,311,3.8,6,3,1
2021-03-16,Food,Juice,Giza,63.34,0.0,63.34,57.92,194,412,5.0,1,3,0
2021-03-16,Food,Cereal,Alex,62.25,0.1,56.02,59.07,150,63,3.6,1,3,0
2021-03-17,Sports,Dumbbells,Aswan,254.98,0.0,254.98,233.18,42,408,4.1,2,3,0
2021-03-19,Food,Coffee,Alex,44.37,0.15,37.71,32.57,175,403,3.6,4,3,0
2021-03-20,Sports,Bike,Luxor,311.5,0.0,311.5,289.78,58,491,4.1,5,3,1
2021-03-24,Home,Pillow,Alex,207.21,0.05,196.85,178.86,87,470,4.9,2,3,0
2021-03-25,Food,Cereal,Luxor,35.97,0.05,34.17,38.93,102,221,4.8,3,3,0
2021-03-27,Clothing,Jeans,Aswan,199.92,0.05,189.92,169.47,94,476,4.9,5,3,1
2021-03-28,Clothing,Dress,Aswan,251.55,0.0,251.55,283.96,68,95,4.4,6,3,1
2021-03-31,Food,Juice,Luxor,48.69,0.2,38.95,42.45,320,208,4.9,2,3,0
2021-03-31,Sports,Sneakers,Alex,219.38,0.0,219.38,239.07,70,488,4.3,2,3,0
2021-03-31,Food,Coffee,Cairo,56.06,0.2,44.85,45.16,153,480,3.7,2,3,0
2021-04-01,Sports,Bike,Giza,408.64,0.15,347.34,342.75,97,405,4.6,3,4,0
2021-04-05,Home,Pillow,Giza,196.76,0.1,177.08,159.11,95,114,4.4,0,4,0
2021-04-05,Clothing,Jeans,Alex,156.72,0.1,141.05,129.39,79,107,3.7,0,4,0
2021-04-08,Sports,Sneakers,Aswan,309.6,0.0,309.6,338.71,43,377,4.5,3,4,0
2021-04-09,Electronics,Camera,Giza,908.63,0.0,908.63,982.16,33,404,4.6,4,4,0
2021-04-16,Sports,Dumbbells,Cairo,340.22,0.05,323.21,295.64,106,380,3.4,4,4,0
2021-04-16,Sports,Helmet,Giza,413.75,0.15,351.69,403.92,90,464,4.3,4,4,0
2021-04-20,Food,Coffee,Aswan,57.51,0.0,57.51,57.11,77,293,4.3,1,4,0
2021-04-23,Sports,Dumbbells,Alex,251.34,0.0,251.34,278.08,41,86,4.2,4,4,0
2021-04-24,Electronics,Headphones,Giza,789.01,0.0,789.01,689.7,26,278,3.6,5,4,1
2021-04-25,Electronics,Camera,Luxor,746.31,0.0,746.31,671.24,29,214,4.4,6,4,1
2021-04-25,Electronics,Phone,Cairo,689.31,0.1,620.38,698.19,66,70,3.5,6,4,1
2021-04-26,Sports,Bike,Luxor,275.15,0.15,233.88,235.53,115,18,4.3,0,4,0
2021-04-26,Sports,Yoga Mat,Luxor,249.29,0.05,236.83,236.17,87,36,3.2,0,4,0
2021-04-26,Home,Pillow,Aswan,168.68,0.1,151.81,146.35,101,148,3.1,0,4,0
2021-04-27,Home,Pillow,Luxor,131.63,0.05,125.05,118.05,73,124,4.4,1,4,0
2021-04-27,Electronics,Camera,Alex,753.82,0.1,678.44,714.24,27,328,3.5,1,4,0
2021-04-28,Electronics,Laptop,Giza,853.9,0.05,811.2,764.97,37,473,3.5,2,4,0
2021-04-30,Home,Lamp,Cairo,194.3,0.0,194.3,169.56,34,429,4.2,4,4,0
2021-05-01,Sports,Helmet,Alex,357.1,0.0,357.1,396.98,100,423,4.7,5,5,1
2021-05-04,Clothing,Jeans,Luxor,227.68,0.0,227.68,208.05,63,128,4.2,1,5,0
2021-05-05,Sports,Sneakers,Alex,265.95,0.0,265.95,250.95,47,499,3.8,2,5,0
2021-05-06,Sports,Sneakers,Luxor,314.74,0.15,267.53,261.1,57,352,4.8,3,5,0
2021-05-06,Sports,Dumbbells,Luxor,354.82,0.0,354.82,349.1,64,457,3.8,3,5,0
2021-05-07,Electronics,Headphones,Giza,948.79,0.0,948.79,877.26,39,79,3.9,4,5,0
2021-05-08,Sports,Yoga Mat,Aswan,324.86,0.0,324.86,287.85,41,414,4.2,5,5,1
2021-05-08,Home,Pillow,Alex,194.46,0.0,194.46,220.51,42,159,4.5,5,5,1
2021-05-09,Clothing,Jeans,Cairo,155.63,0.0,155.63,148.86,86,348,3.4,6,5,1
2021-05-09,Electronics,Headphones,Giza,611.32,0.0,611.32,565.95,26,303,3.9,6,5,1
2021-05-10,Electronics,Phone,Giza,869.95,0.0,869.95,896.58,45,456,4.3,0,5,0
2021-05-10,Home,Rug,Aswan,174.57,0.0,174.57,158.13,75,324,3.5,0,5,0
2021-05-11,Food,Tea,Alex,68.75,0.0,68.75,62.78,192,299,4.1,1,5,0
2021-05-11,Clothing,Jeans,Luxor,161.1,0.15,136.94,146.26,143,444,4.6,1,5,0
2021-05-14,Electronics,Camera,Luxor,778.41,0.0,778.41,697.18,39,397,3.4,4,5,0
2021-05-14,Electronics,Camera,Giza,1037.98,0.0,1037.98,911.49,50,455,4.3,4,5,0
2021-05-15,Clothing,Jeans,Alex,203.77,0.05,193.58,209.32,111,179,4.8,5,5,1
2021-05-17,Electronics,Phone,Giza,597.84,0.05,567.95,530.1,49,494,3.1,0,5,0
2021-05-17,Sports,Dumbbells,Giza,365.87,0.15,310.99,322.62,87,456,4.7,0,5,0
2021-05-18,Home,Rug,Alex,147.69,0.0,147.69,148.14,70,367,3.3,1,5,0
2021-05-18,Food,Tea,Alex,60.53,0.0,60.53,53.83,178,214,3.5,1,5,0
2021-05-19,Sports,Yoga Mat,Alex,248.1,0.2,198.48,217.15,102,427,4.0,2,5,0
2021-05-20,Home,Rug,Aswan,157.91,0.2,126.33,127.26,70,198,4.4,3,5,0
2021-05-21,Food,Juice,Alex,47.25,0.0,47.25,45.96,107,110,4.3,4,5,0
2021-05-21,Clothing,Dress,Cairo,227.64,0.1,204.88,224.25,104,411,3.4,4,5,0
2021-05-22,Food,Tea,Luxor,42.4,0.0,42.4,47.35,196,117,4.3,5,5,1
2021-05-22,Home,Pillow,Luxor,124.9,0.05,118.66,128.7,53,126,4.4,5,5,1
2021-05-23,Food,Tea,Giza,67.46,0.0,67.46,72.2,123,93,3.6,6,5,1
2021-05-24,Electronics,Laptop,Giza,790.05,0.0,790.05,862.27,27,482,4.2,0,5,0
2021-05-24,Home,Curtains,Cairo,128.14,0.0,128.14,123.48,59,217,4.4,0,5,0
2021-05-26,Electronics,Camera,Cairo,917.64,0.0,917.64,926.45,48,132,3.8,2,5,0
2021-05-26,Electronics,Phone,Aswan,626.55,0.0,626.55,535.37,27,237,4.6,2,5,0
2021-05-27,Clothing,Shoes,Cairo,221.54,0.0,221.54,200.55,48,406,3.1,3,5,0
2021-05-27,Sports,Dumbbells,Cairo,349.19,0.05,331.73,336.37,93,88,4.8,3,5,0
2021-05-28,Sports,Bike,Alex,336.9,0.1,303.21,271.07,76,175,4.3,4,5,0
2021-05-28,Food,Tea,Alex,62.29,0.0,62.29,68.48,122,239,4.5,4,5,0
2021-05-29,Food,Juice,Cairo,55.58,0.0,55.58,48.55,134,339,3.7,5,5,1
2021-05-29,Food,Tea,Aswan,44.01,0.0,44.01,42.32,119,332,3.6,5,5,1
2021-05-31,Home,Rug,Cairo,167.76,0.1,150.98,171.52,35,230,4.3,0,5,0
2021-06-02,Food,Snacks,Giza,39.64,0.0,39.64,39.96,187,157,4.4,2,6,0
2021-06-03,Food,Tea,Alex,67.83,0.2,54.26,46.76,282,457,4.9,3,6,0
2021-06-03,Clothing,Jeans,Aswan,263.2,0.0,263.2,281.0,69,222,4.3,3,6,0
2021-06-03,Home,Pillow,Aswan,158.95,0.0,158.95,167.0,43,493,4.8,3,6,0
2021-06-04,Electronics,Camera,Aswan,718.6,0.15,610.81,630.58,48,341,3.8,4,6,0
2021-06-05,Food,Cereal,Luxor,36.01,0.0,36.01,33.72,174,194,3.7,5,6,1
2021-06-05,Clothing,T-Shirt,Giza,203.68,0.15,173.13,159.96,92,289,3.4,5,6,1
2021-06-08,Sports,Bike,Giza,305.7,0.2,244.56,265.58,95,437,3.7,1,6,0
2021-06-08,Clothing,Shoes,Alex,215.71,0.15,183.35,207.53,45,213,5.0,1,6,0
2021-06-09,Sports,Sneakers,Aswan,366.12,0.0,366.12,387.99,38,297,4.7,2,6,0
2021-06-10,Electronics,Phone,Giza,1049.26,0.0,1049.26,1078.72,45,15,3.3,3,6,0
2021-06-10,Electronics,Laptop,Alex,1072.1,0.0,1072.1,1036.73,34,361,3.1,3,6,0
2021-06-11,Sports,Yoga Mat,Luxor,271.64,0.0,271.64,276.32,50,260,4.4,4,6,0
2021-06-11,Clothing,Jacket,Aswan,266.08,0.0,266.08,291.45,44,26,3.4,4,6,0
2021-06-11,Food,Snacks,Aswan,55.0,0.1,49.5,51.49,178,481,3.4,4,6,0
2021-06-12,Home,Vase,Cairo,191.1,0.15,162.44,186.06,59,145,3.4,5,6,1
2021-06-13,Food,Tea,Cairo,68.66,0.0,68.66,70.4,139,132,3.5,6,6,1
2021-06-14,Clothing,T-Shirt,Aswan,240.64,0.15,204.54,206.71,79,453,4.9,0,6,0
2021-06-15,Electronics,Camera,Giza,724.42,0.05,688.2,689.39,31,294,4.3,1,6,0
2021-06-15,Sports,Bike,Luxor,268.03,0.1,241.23,234.61,72,430,4.9,1,6,0
2021-06-15,Electronics,Laptop,Cairo,1101.72,0.05,1046.63,1069.66,21,431,4.2,1,6,0
2021-06-16,Electronics,Phone,Luxor,1037.78,0.0,1037.78,1140.84,27,145,3.5,2,6,0
2021-06-21,Sports,Sneakers,Alex,263.01,0.0,263.01,290.91,37,409,4.2,0,6,0
2021-06-23,Food,Coffee,Aswan,41.46,0.0,41.46,46.18,142,148,4.5,2,6,0
2021-06-24,Sports,Bike,Cairo,346.93,0.0,346.93,335.86,61,350,3.7,3,6,0
2021-06-25,Electronics,Phone,Alex,643.2,0.0,643.2,627.76,21,256,4.2,4,6,0
2021-07-02,Home,Rug,Cairo,184.57,0.0,184.57,202.67,37,206,4.7,4,7,0
2021-07-02,Sports,Sneakers,Cairo,272.79,0.0,272.79,265.41,79,405,4.8,4,7,0
2021-07-03,Food,Coffee,Alex,54.07,0.0,54.07,48.09,158,457,3.6,5,7,1
2021-07-06,Clothing,Dress,Luxor,187.68,0.0,187.68,181.57,48,283,3.9,1,7,0
2021-07-06,Sports,Helmet,Alex,307.82,0.0,307.82,306.79,31,449,4.0,1,7,0
2021-07-06,Home,Vase,Luxor,181.02,0.05,171.97,165.31,61,11,4.5,1,7,0
2021-07-06,Clothing,Jacket,Aswan,178.47,0.2,142.78,159.8,85,349,4.2,1,7,0
2021-07-07,Food,Tea,Giza,58.05,0.15,49.34,51.96,118,129,3.3,2,7,0
2021-07-09,Sports,Helmet,Luxor,234.18,0.15,199.05,192.32,62,63,4.3,4,7,0
2021-07-09,Electronics,Tablet,Cairo,609.45,0.05,578.98,634.41,28,33,3.0,4,7,0
2021-07-10,Sports,Helmet,Alex,407.54,0.0,407.54,451.14,44,72,3.8,5,7,1
2021-07-11,Food,Cereal,Aswan,62.09,0.2,49.67,51.99,167,379,4.5,6,7,1
2021-07-11,Clothing,Dress,Aswan,154.58,0.0,154.58,145.53,57,348,3.4,6,7,1
2021-07-11,Sports,Dumbbells,Aswan,412.51,0.15,350.63,334.84,61,195,3.2,6,7,1
2021-07-12,Home,Rug,Alex,112.3,0.15,95.46,96.46,60,460,3.3,0,7,0
2021-07-13,Food,Tea,Giza,68.74,0.2,54.99,51.63,197,400,3.5,1,7,0
2021-07-13,Clothing,T-Shirt,Giza,175.83,0.0,175.83,185.7,52,424,4.2,1,7,0
2021-07-14,Food,Cereal,Cairo,42.47,0.0,42.47,43.45,123,180,3.6,2,7,0
2021-07-15,Sports,Helmet,Cairo,251.13,0.1,226.02,215.36,50,138,3.5,3,7,0
2021-07-17,Clothing,T-Shirt,Aswan,143.23,0.0,143.23,127.86,80,148,4.4,5,7,1
2021-07-17,Home,Rug,Aswan,150.47,0.0,150.47,135.42,35,258,4.7,5,7,1
2021-07-17,Home,Lamp,Aswan,151.06,0.0,151.06,163.06,41,113,3.5,5,7,1
2021-07-20,Clothing,Dress,Aswan,145.98,0.15,124.08,111.87,43,276,4.0,1,7,0
2021-07-20,Electronics,Laptop,Alex,735.4,0.0,735.4,708.39,17,23,4.1,1,7,0
2021-07-21,Sports,Dumbbells,Luxor,219.55,0.0,219.55,225.42,31,212,4.8,2,7,0
2021-07-21,Sports,Dumbbells,Alex,383.01,0.1,344.71,362.09,49,68,4.0,2,7,0
2021-07-21,Electronics,Headphones,Alex,939.41,0.05,892.44,769.21,42,464,3.6,2,7,0
2021-07-22,Electronics,Tablet,Cairo,845.12,0.0,845.12,939.33,36,323,3.8,3,7,0
2021-07-23,Clothing,Jacket,Giza,214.42,0.0,214.42,220.03,61,43,4.9,4,7,0
2021-07-24,Sports,Dumbbells,Giza,371.04,0.1,333.94,314.0,40,414,3.7,5,7,1
2021-07-24,Food,Juice,Giza,55.37,0.15,47.06,46.48,108,250,4.3,5,7,1
2021-07-25,Home,Vase,Alex,207.62,0.0,207.62,180.52,58,444,4.4,6,7,1
2021-07-25,Sports,Sneakers,Luxor,404.82,0.0,404.82,418.08,59,114,4.5,6,7,1
2021-07-26,Electronics,Tablet,Alex,897.74,0.0,897.74,863.86,18,229,4.0,0,7,0
2021-07-26,Food,Snacks,Luxor,62.87,0.1,56.58,61.52,187,45,4.2,0,7,0
2021-07-27,Electronics,Laptop,Luxor,992.79,0.15,843.87,844.41,31,25,4.0,1,7,0
2021-07-27,Sports,Sneakers,Cairo,332.83,0.0,332.83,289.12,39,461,4.0,1,7,0
2021-07-27,Home,Curtains,Alex,168.37,0.0,168.37,144.21,20,27,4.8,1,7,0
2021-08-02,Home,Curtains,Luxor,128.57,0.0,128.57,115.81,37,382,4.5,0,8,0
2021-08-04,Food,Tea,Luxor,62.48,0.05,59.36,67.17,130,165,4.3,2,8,0
2021-08-04,Electronics,Camera,Giza,697.09,0.0,697.09,598.42,26,159,3.8,2,8,0
2021-08-08,Home,Curtains,Cairo,151.52,0.0,151.52,155.94,25,125,4.2,6,8,1
2021-08-08,Clothing,Jacket,Aswan,157.78,0.0,157.78,141.12,62,78,4.9,6,8,1
2021-08-12,Sports,Yoga Mat,Aswan,301.57,0.05,286.49,269.4,40,314,4.2,3,8,0
2021-08-13,Clothing,Dress,Alex,264.43,0.1,237.99,214.44,44,421,3.6,4,8,0
2021-08-13,Home,Rug,Cairo,165.05,0.15,140.29,159.02,45,337,3.4,4,8,0
2021-08-14,Sports,Helmet,Alex,294.2,0.0,294.2,320.96,55,102,3.3,5,8,1
2021-08-14,Electronics,Headphones,Aswan,626.74,0.0,626.74,698.22,29,214,3.1,5,8,1
2021-08-15,Home,Lamp,Cairo,192.99,0.05,183.34,199.33,48,117,4.0,6,8,1
2021-08-15,Electronics,Laptop,Alex,960.54,0.1,864.49,934.22,42,349,3.8,6,8,1
2021-08-15,Home,Curtains,Alex,111.42,0.0,111.42,98.3,50,103,4.7,6,8,1
2021-08-15,Clothing,Jacket,Alex,162.37,0.0,162.37,168.52,24,220,4.2,6,8,1
2021-08-21,Clothing,T-Shirt,Alex,243.24,0.1,218.92,213.6,36,57,3.8,5,8,1
2021-08-21,Sports,Helmet,Aswan,309.33,0.05,293.86,286.43,51,212,3.8,5,8,1
2021-08-23,Clothing,Jacket,Luxor,237.34,0.0,237.34,238.66,30,97,4.4,0,8,0
2021-08-23,Sports,Yoga Mat,Luxor,234.72,0.0,234.72,238.92,34,195,3.3,0,8,0
2021-08-24,Home,Vase,Cairo,197.84,0.0,197.84,183.07,30,479,4.2,1,8,0
2021-08-24,Home,Lamp,Giza,116.2,0.15,98.77,90.77,58,467,3.5,1,8,0
2021-08-25,Electronics,Headphones,Alex,1083.55,0.0,1083.55,1242.78,12,136,4.0,2,8,0
2021-08-25,Electronics,Tablet,Aswan,1069.73,0.0,1069.73,1092.99,28,83,3.9,2,8,0
2021-08-26,Electronics,Headphones,Cairo,911.9,0.1,820.71,768.75,37,0,4.1,3,8,0
2021-08-27,Sports,Helmet,Cairo,361.23,0.0,361.23,364.52,56,431,3.9,4,8,0
2021-08-27,Clothing,Jacket,Luxor,271.34,0.2,217.07,215.06,63,465,4.8,4,8,0
2021-08-29,Electronics,Laptop,Giza,776.23,0.0,776.23,886.58,18,200,4.9,6,8,1
2021-08-30,Food,Coffee,Cairo,54.53,0.2,43.62,38.36,68,424,3.1,0,8,0
2021-08-30,Food,Juice,Luxor,39.79,0.0,39.79,39.25,128,255,3.8,0,8,0
2021-08-30,Sports,Yoga Mat,Luxor,344.37,0.1,309.93,341.4,73,9,4.1,0,8,0
2021-08-30,Home,Pillow,Aswan,171.25,0.0,171.25,157.73,49,105,4.3,0,8,0
2021-08-31,Home,Rug,Aswan,156.16,0.0,156.16,165.28,25,170,4.5,1,8,0
2021-09-01,Clothing,Jeans,Alex,201.8,0.0,201.8,205.95,60,0,3.8,2,9,0
2021-09-02,Clothing,Jacket,Luxor,182.21,0.0,182.21,186.82,60,361,3.3,3,9,0
2021-09-02,Electronics,Camera,Cairo,995.57,0.0,995.57,850.01,27,409,3.4,3,9,0
2021-09-02,Electronics,Camera,Alex,604.72,0.1,544.25,594.09,21,13,4.0,3,9,0
2021-09-04,Sports,Helmet,Aswan,385.63,0.15,327.79,294.44,28,209,3.6,5,9,1
2021-09-07,Home,Vase,Luxor,178.99,0.1,161.09,155.33,20,185,4.5,1,9,0
2021-09-07,Electronics,Phone,Giza,896.62,0.2,717.3,777.22,16,102,3.3,1,9,0
2021-09-07,Clothing,Shoes,Luxor,183.37,0.05,174.2,167.99,55,104,4.4,1,9,0
2021-09-08,Food,Cereal,Aswan,48.2,0.15,40.97,38.12,109,170,3.5,2,9,0
2021-09-08,Clothing,Jeans,Luxor,180.78,0.05,171.74,174.25,31,75,4.7,2,9,0
2021-09-11,Clothing,Jeans,Giza,151.01,0.0,151.01,173.12,32,355,3.8,5,9,1
2021-09-11,Food,Coffee,Cairo,64.13,0.0,64.13,54.91,128,166,3.4,5,9,1
2021-09-13,Electronics,Camera,Giza,1088.28,0.0,1088.28,1179.87,30,370,4.5,0,9,0
2021-09-14,Home,Rug,Cairo,119.59,0.0,119.59,135.8,39,212,3.7,1,9,0
2021-09-16,Clothing,Jacket,Cairo,166.53,0.15,141.55,129.37,67,483,4.2,3,9,0
2021-09-18,Home,Vase,Cairo,151.46,0.0,151.46,150.63,25,202,3.6,5,9,1
2021-09-19,Food,Cereal,Alex,69.59,0.1,62.63,64.91,142,318,4.0,6,9,1
2021-09-20,Sports,Dumbbells,Alex,305.67,0.15,259.82,285.73,53,100,5.0,0,9,0
2021-09-22,Electronics,Camera,Giza,840.13,0.05,798.12,843.67,26,151,4.3,2,9,0
2021-09-22,Sports,Dumbbells,Luxor,414.19,0.05,393.48,394.9,37,106,4.5,2,9,0
2021-09-24,Electronics,Phone,Alex,935.68,0.0,935.68,968.73,19,206,3.5,4,9,0
2021-09-26,Sports,Dumbbells,Aswan,212.17,0.0,212.17,218.16,21,429,3.6,6,9,1
2021-09-27,Home,Lamp,Cairo,188.24,0.0,188.24,179.22,19,293,4.0,0,9,0
2021-09-27,Home,Rug,Alex,158.38,0.05,150.46,154.4,25,482,4.8,0,9,0
2021-09-27,Sports,Sneakers,Alex,274.4,0.0,274.4,294.6,47,229,3.9,0,9,0
2021-09-28,Sports,Dumbbells,Cairo,316.92,0.05,301.07,307.64,21,89,3.9,1,9,0
2021-09-28,Food,Tea,Luxor,64.37,0.1,57.93,53.51,62,56,3.1,1,9,0
2021-09-29,Clothing,Jeans,Cairo,256.95,0.0,256.95,250.2,34,199,4.4,2,9,0
2021-09-29,Sports,Yoga Mat,Luxor,347.3,0.0,347.3,370.15,49,99,3.3,2,9,0
2021-09-30,Sports,Helmet,Aswan,280.06,0.0,280.06,293.91,49,67,4.8,3,9,0
2021-10-01,Electronics,Headphones,Giza,760.84,0.1,684.76,659.66,36,79,4.7,4,10,0
2021-10-03,Home,Vase,Giza,165.12,0.0,165.12,181.94,19,380,4.5,6,10,1
2021-10-03,Sports,Dumbbells,Aswan,396.21,0.1,356.59,405.94,26,74,4.9,6,10,1
2021-10-04,Electronics,Headphones,Cairo,1006.34,0.0,1006.34,925.63,28,387,4.2,0,10,0
2021-10-04,Clothing,Jacket,Aswan,173.83,0.0,173.83,158.38,36,427,3.7,0,10,0
2021-10-05,Home,Vase,Alex,140.87,0.0,140.87,127.56,46,495,4.6,1,10,0
2021-10-05,Home,Pillow,Luxor,197.23,0.0,197.23,217.19,23,432,3.6,1,10,0
2021-10-05,Electronics,Laptop,Luxor,675.58,0.05,641.8,601.15,14,311,3.4,1,10,0
2021-10-05,Food,Snacks,Luxor,50.25,0.05,47.74,52.03,81,132,4.9,1,10,0
2021-10-06,Sports,Sneakers,Alex,291.88,0.0,291.88,257.39,38,121,3.2,2,10,0
